

Measurement ID,867
Battery Name,Turnigy_5Ah_91198-SN1
Battery Type,Li-ion
Circuit,Circuit002
Program,1715 - Turnigy_NN_Char
Start Time,6/28/2019 5:07:51 PM
End Time,7/5/2019 5:30:07 PM
Test section,C20DisCh
Comment,
OrderNo,
Producer,Turnigy
Type,Li-ion
Nominal Voltage,3.7
Nominal Current,5
Nominal Capacity,5
Cells,1
Maximum Voltage,4.2
Gassing Voltage,0
Break Voltage,0
Charge Factor,0
Impedance,0.001
Cold Cranking Current,0
Energy Density,0
Comment,Temperature sensor on center of cell face



Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt,
[M/d/yyyy h:mm:ss tt],[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[C],[Ah],[Wh],[Cnt],
7/2/2019 2:30:46 PM,24,DCH,93:22:47.187,00:01:00.002,0,0,Turnigy_NN_Char,4.1351,-0.2485,-18.4421,-0.0042,-0.0172,2.0000,
7/2/2019 2:31:46 PM,24,DCH,93:23:47.186,00:02:00.001,0,0,Turnigy_NN_Char,4.1204,-0.2485,-18.4421,-0.0083,-0.0344,2.0000,
7/2/2019 2:32:46 PM,24,DCH,93:24:47.193,00:03:00.008,0,0,Turnigy_NN_Char,4.1071,-0.2510,-18.6541,-0.0125,-0.0516,2.0000,
7/2/2019 2:33:46 PM,24,DCH,93:25:47.187,00:04:00.002,0,0,Turnigy_NN_Char,4.0947,-0.2510,-18.6541,-0.0167,-0.0687,2.0000,
7/2/2019 2:34:46 PM,24,DCH,93:26:47.186,00:05:00.001,0,0,Turnigy_NN_Char,4.0812,-0.2510,-18.9721,-0.0208,-0.0857,2.0000,
7/2/2019 2:35:46 PM,24,DCH,93:27:47.186,00:06:00.001,0,0,Turnigy_NN_Char,4.0661,-0.2510,-19.1841,-0.0250,-0.1027,2.0000,
7/2/2019 2:36:46 PM,24,DCH,93:28:47.192,00:07:00.007,0,0,Turnigy_NN_Char,4.0499,-0.2510,-19.3960,-0.0292,-0.1197,2.0000,
7/2/2019 2:37:46 PM,24,DCH,93:29:47.190,00:08:00.005,0,0,Turnigy_NN_Char,4.0359,-0.2510,-19.3960,-0.0334,-0.1365,2.0000,
7/2/2019 2:38:46 PM,24,DCH,93:30:47.184,00:08:59.999,0,0,Turnigy_NN_Char,4.0273,-0.2510,-19.2900,-0.0375,-0.1533,2.0000,
