

Measurement ID,802
Battery Name,Turnigy_5Ah_91198-SN1
Battery Type,Li-ion
Circuit,Circuit001
Program,1792 - Turnigy_CyclesA
Start Time,5/21/2019 10:21:22 AM
End Time,5/23/2019 3:55:52 AM
Test section,Charge2
Comment,10degC
OrderNo,
Producer,Turnigy
Type,Li-ion
Nominal Voltage,3.7
Nominal Current,5
Nominal Capacity,5
Cells,1
Maximum Voltage,4.2
Gassing Voltage,0
Break Voltage,0
Charge Factor,0
Impedance,0.001
Cold Cranking Current,0
Energy Density,0
Comment,Temperature sensor on center of cell face



Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt,
[M/d/yyyy h:mm:ss tt],[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[C],[Ah],[Wh],[Cnt],
5/21/2019 12:33:13 PM,2,PAU,02:11:46.852,00:00:59.999,0,0,NN_Char_Charge_R2,3.4048,0.0000,10.4107,0.0000,0.0000,1.0000,
5/21/2019 12:34:13 PM,2,PAU,02:12:46.865,00:02:00.012,0,0,NN_Char_Charge_R2,3.4074,0.0000,10.3055,0.0000,0.0000,1.0000,
5/21/2019 12:35:13 PM,2,PAU,02:13:46.858,00:03:00.005,0,0,NN_Char_Charge_R2,3.4096,0.0000,10.3055,0.0000,0.0000,1.0000,
5/21/2019 12:36:13 PM,2,PAU,02:14:46.859,00:04:00.006,0,0,NN_Char_Charge_R2,3.4117,0.0000,10.0952,0.0000,0.0000,1.0000,
5/21/2019 12:37:13 PM,2,PAU,02:15:46.851,00:04:59.998,0,0,NN_Char_Charge_R2,3.4138,0.0000,9.9901,0.0000,0.0000,1.0000,
5/21/2019 12:38:05 PM,2,PAU,02:16:38.638,00:05:51.785,0,0,NN_Char_Charge_R2,3.4153,0.0000,9.8849,0.0000,0.0000,1.0000,
5/21/2019 12:39:05 PM,4,PAU,02:17:38.654,00:01:00.001,0,0,NN_Char_Charge_R2,3.4170,0.0000,9.9901,0.0000,0.0000,1.0000,
5/21/2019 12:40:05 PM,4,PAU,02:18:38.661,00:02:00.008,0,0,NN_Char_Charge_R2,3.4182,0.0000,10.9365,0.0000,0.0000,1.0000,
5/21/2019 12:41:05 PM,4,PAU,02:19:38.659,00:03:00.006,0,0,NN_Char_Charge_R2,3.4190,0.0000,12.4087,0.0000,0.0000,1.0000,
5/21/2019 12:42:05 PM,4,PAU,02:20:38.663,00:04:00.010,0,0,NN_Char_Charge_R2,3.4197,0.0000,14.0912,0.0000,0.0000,1.0000,
5/21/2019 12:43:05 PM,4,PAU,02:21:38.657,00:05:00.004,0,0,NN_Char_Charge_R2,3.4200,0.0000,15.6686,0.0000,0.0000,1.0000,
5/21/2019 12:44:05 PM,4,PAU,02:22:38.654,00:06:00.001,0,0,NN_Char_Charge_R2,3.4202,0.0000,17.0357,0.0000,0.0000,1.0000,
