

Measurement ID,806
Battery Name,Turnigy_5Ah_91198-SN1
Battery Type,Li-ion
Circuit,Circuit001
Program,1790 - Turnigy_CyclesB
Start Time,5/23/2019 3:56:04 AM
End Time,5/24/2019 11:08:58 PM
Test section,Cap_1C
Comment,
OrderNo,
Producer,Turnigy
Type,Li-ion
Nominal Voltage,3.7
Nominal Current,5
Nominal Capacity,5
Cells,1
Maximum Voltage,4.2
Gassing Voltage,0
Break Voltage,0
Charge Factor,0
Impedance,0.001
Cold Cranking Current,0
Energy Density,0
Comment,Temperature sensor on center of cell face



Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt,
[M/d/yyyy h:mm:ss tt],[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[C],[Ah],[Wh],[Cnt],
5/23/2019 5:17:08 AM,19,PAU,01:20:59.317,00:00:10.003,0,0,Turnigy_CyclesB,4.2015,0.0000,9.9901,0.0000,0.0000,1.0000,
5/23/2019 5:17:18 AM,19,PAU,01:21:09.318,00:00:20.004,0,0,Turnigy_CyclesB,4.2015,0.0000,9.9901,0.0000,0.0000,1.0000,
5/23/2019 5:17:28 AM,19,PAU,01:21:19.313,00:00:29.999,0,0,Turnigy_CyclesB,4.2015,0.0000,9.9901,0.0000,0.0000,1.0000,
5/23/2019 5:17:38 AM,19,PAU,01:21:29.320,00:00:40.006,0,0,Turnigy_CyclesB,4.2015,0.0000,9.9901,0.0000,0.0000,1.0000,
5/23/2019 5:17:48 AM,19,PAU,01:21:39.316,00:00:50.002,0,0,Turnigy_CyclesB,4.2015,0.0000,9.8849,0.0000,0.0000,1.0000,
5/23/2019 5:17:58 AM,19,PAU,01:21:49.323,00:01:00.009,0,0,Turnigy_CyclesB,4.2015,0.0000,9.8849,0.0000,0.0000,1.0000,
5/23/2019 5:17:58 AM,19,PAU,01:21:49.323,00:01:00.009,0,0,Turnigy_CyclesB,4.2015,0.0000,9.8849,0.0000,0.0000,1.0000,
5/23/2019 5:18:08 AM,20,DCH,01:21:59.338,00:00:10.008,0,0,Turnigy_CyclesB,4.1583,-5.0009,9.8849,-0.0139,-0.0579,1.0000,
5/23/2019 5:18:18 AM,20,DCH,01:22:09.339,00:00:20.009,0,0,Turnigy_CyclesB,4.1504,-5.0009,9.9901,-0.0278,-0.1156,1.0000,
5/23/2019 5:18:28 AM,20,DCH,01:22:19.331,00:00:30.001,0,0,Turnigy_CyclesB,4.1445,-5.0009,9.8849,-0.0417,-0.1732,1.0000,
5/23/2019 5:18:38 AM,20,DCH,01:22:29.332,00:00:40.002,0,0,Turnigy_CyclesB,4.1395,-5.0009,9.9901,-0.0556,-0.2307,1.0000,
5/23/2019 5:18:48 AM,20,DCH,01:22:39.333,00:00:50.003,0,0,Turnigy_CyclesB,4.1349,-4.9984,9.9901,-0.0695,-0.2882,1.0000,
5/23/2019 5:18:58 AM,20,DCH,01:22:49.336,00:01:00.006,0,0,Turnigy_CyclesB,4.1307,-4.9984,9.9901,-0.0833,-0.3456,1.0000,
5/23/2019 5:19:08 AM,20,DCH,01:22:59.328,00:01:09.998,0,0,Turnigy_CyclesB,4.1267,-5.0009,9.8849,-0.0972,-0.4029,1.0000,
5/23/2019 5:19:18 AM,20,DCH,01:23:09.334,00:01:20.004,0,0,Turnigy_CyclesB,4.1229,-4.9984,9.9901,-0.1111,-0.4602,1.0000,
5/23/2019 5:19:28 AM,20,DCH,01:23:19.341,00:01:30.011,0,0,Turnigy_CyclesB,4.1192,-4.9984,9.9901,-0.1250,-0.5175,1.0000,
5/23/2019 5:19:38 AM,20,DCH,01:23:29.342,00:01:40.012,0,0,Turnigy_CyclesB,4.1157,-5.0009,10.0952,-0.1389,-0.5746,1.0000,
5/23/2019 5:19:48 AM,20,DCH,01:23:39.334,00:01:50.004,0,0,Turnigy_CyclesB,4.1122,-5.0009,9.9901,-0.1528,-0.6318,1.0000,
5/23/2019 5:19:58 AM,20,DCH,01:23:49.338,00:02:00.008,0,0,Turnigy_CyclesB,4.1088,-5.0009,9.9901,-0.1667,-0.6888,1.0000,
5/23/2019 5:20:08 AM,20,DCH,01:23:59.333,00:02:10.003,0,0,Turnigy_CyclesB,4.1054,-4.9984,10.0952,-0.1806,-0.7459,1.0000,
5/23/2019 5:20:18 AM,20,DCH,01:24:09.338,00:02:20.008,0,0,Turnigy_CyclesB,4.1020,-5.0009,10.0952,-0.1944,-0.8029,1.0000,
5/23/2019 5:20:28 AM,20,DCH,01:24:19.340,00:02:30.010,0,0,Turnigy_CyclesB,4.0988,-5.0009,9.9901,-0.2083,-0.8598,1.0000,
5/23/2019 5:20:38 AM,20,DCH,01:24:29.335,00:02:40.005,0,0,Turnigy_CyclesB,4.0956,-5.0009,10.0952,-0.2222,-0.9168,1.0000,
