

Measurement ID,806
Battery Name,Turnigy_5Ah_91198-SN1
Battery Type,Li-ion
Circuit,Circuit001
Program,1790 - Turnigy_CyclesB
Start Time,5/23/2019 3:56:04 AM
End Time,5/24/2019 11:08:58 PM
Test section,Charge15
Comment,
OrderNo,
Producer,Turnigy
Type,Li-ion
Nominal Voltage,3.7
Nominal Current,5
Nominal Capacity,5
Cells,1
Maximum Voltage,4.2
Gassing Voltage,0
Break Voltage,0
Charge Factor,0
Impedance,0.001
Cold Cranking Current,0
Energy Density,0
Comment,Temperature sensor on center of cell face



Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt,
[M/d/yyyy h:mm:ss tt],[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[C],[Ah],[Wh],[Cnt],
5/24/2019 12:13:16 PM,2,PAU,32:17:05.489,00:00:00.005,0,0,NN_Char_Charge_R2,3.6294,0.0000,9.7797,0.0000,0.0000,6.0000,
5/24/2019 12:14:16 PM,4,PAU,32:18:05.503,00:01:00.007,0,0,NN_Char_Charge_R2,3.6300,0.0000,9.9901,0.0000,0.0000,6.0000,
5/24/2019 12:15:16 PM,4,PAU,32:19:05.501,00:02:00.005,0,0,NN_Char_Charge_R2,3.6305,0.0000,11.0416,0.0000,0.0000,6.0000,
5/24/2019 12:16:16 PM,4,PAU,32:20:05.498,00:03:00.002,0,0,NN_Char_Charge_R2,3.6305,0.0000,12.4087,0.0000,0.0000,6.0000,
5/24/2019 12:17:16 PM,4,PAU,32:21:05.505,00:04:00.009,0,0,NN_Char_Charge_R2,3.6304,0.0000,14.0912,0.0000,0.0000,6.0000,
5/24/2019 12:18:16 PM,4,PAU,32:22:05.498,00:05:00.002,0,0,NN_Char_Charge_R2,3.6299,0.0000,15.5635,0.0000,0.0000,6.0000,
5/24/2019 12:19:16 PM,4,PAU,32:23:05.503,00:06:00.007,0,0,NN_Char_Charge_R2,3.6295,0.0000,16.8254,0.0000,0.0000,6.0000,
5/24/2019 12:20:16 PM,4,PAU,32:24:05.496,00:07:00.000,0,0,NN_Char_Charge_R2,3.6292,0.0000,17.5615,0.0000,0.0000,6.0000,
5/24/2019 12:21:16 PM,4,PAU,32:25:05.505,00:08:00.009,0,0,NN_Char_Charge_R2,3.6289,0.0000,18.4027,0.0000,0.0000,6.0000,
5/24/2019 12:22:16 PM,4,PAU,32:26:05.494,00:08:59.998,0,0,NN_Char_Charge_R2,3.6287,0.0000,18.9285,0.0000,0.0000,6.0000,
5/24/2019 12:23:16 PM,4,PAU,32:27:05.502,00:10:00.006,0,0,NN_Char_Charge_R2,3.6287,0.0000,19.3492,0.0000,0.0000,6.0000,
5/24/2019 12:24:16 PM,4,PAU,32:28:05.502,00:11:00.006,0,0,NN_Char_Charge_R2,3.6287,0.0000,19.7698,0.0000,0.0000,6.0000,
5/24/2019 12:24:55 PM,4,PAU,32:28:44.122,00:11:38.626,0,0,NN_Char_Charge_R2,3.6287,0.0000,20.0853,0.0000,0.0000,6.0000,
5/24/2019 12:25:55 PM,5,PAU,32:29:44.136,00:01:00.007,0,0,NN_Char_Charge_R2,3.6287,0.0000,20.5059,0.0000,0.0000,6.0000,
5/24/2019 12:26:55 PM,5,PAU,32:30:44.140,00:02:00.011,0,0,NN_Char_Charge_R2,3.6289,0.0000,20.8214,0.0000,0.0000,6.0000,
5/24/2019 12:27:55 PM,5,PAU,32:31:44.138,00:03:00.009,0,0,NN_Char_Charge_R2,3.6289,0.0000,21.1369,0.0000,0.0000,6.0000,
5/24/2019 12:28:55 PM,5,PAU,32:32:44.137,00:04:00.008,0,0,NN_Char_Charge_R2,3.6290,0.0000,21.3472,0.0000,0.0000,6.0000,
5/24/2019 12:29:55 PM,5,PAU,32:33:44.132,00:05:00.003,0,0,NN_Char_Charge_R2,3.6290,0.0000,21.6627,0.0000,0.0000,6.0000,
5/24/2019 12:30:55 PM,5,PAU,32:34:44.128,00:05:59.999,0,0,NN_Char_Charge_R2,3.6292,0.0000,21.8730,0.0000,0.0000,6.0000,
5/24/2019 12:31:55 PM,5,PAU,32:35:44.130,00:07:00.001,0,0,NN_Char_Charge_R2,3.6294,0.0000,22.0833,0.0000,0.0000,6.0000,
5/24/2019 12:32:55 PM,5,PAU,32:36:44.133,00:08:00.004,0,0,NN_Char_Charge_R2,3.6295,0.0000,22.2936,0.0000,0.0000,6.0000,
5/24/2019 12:33:55 PM,5,PAU,32:37:44.138,00:09:00.009,0,0,NN_Char_Charge_R2,3.6297,0.0000,22.2936,0.0000,0.0000,6.0000,
5/24/2019 12:34:55 PM,5,PAU,32:38:44.135,00:10:00.006,0,0,NN_Char_Charge_R2,3.6299,0.0000,22.5039,0.0000,0.0000,6.0000,
5/24/2019 12:35:55 PM,5,PAU,32:39:44.139,00:11:00.010,0,0,NN_Char_Charge_R2,3.6299,0.0000,22.6091,0.0000,0.0000,6.0000,
5/24/2019 12:36:55 PM,5,PAU,32:40:44.136,00:12:00.007,0,0,NN_Char_Charge_R2,3.6300,0.0000,22.8194,0.0000,0.0000,6.0000,
5/24/2019 12:37:55 PM,5,PAU,32:41:44.132,00:13:00.003,0,0,NN_Char_Charge_R2,3.6302,0.0000,22.9246,0.0000,0.0000,6.0000,
5/24/2019 12:38:55 PM,5,PAU,32:42:44.138,00:14:00.009,0,0,NN_Char_Charge_R2,3.6304,0.0000,23.0297,0.0000,0.0000,6.0000,
5/24/2019 12:39:55 PM,5,PAU,32:43:44.129,00:15:00.000,0,0,NN_Char_Charge_R2,3.6305,0.0000,23.1349,0.0000,0.0000,6.0000,
5/24/2019 12:39:55 PM,5,PAU,32:43:44.142,00:15:00.013,0,0,NN_Char_Charge_R2,3.6305,0.0000,23.1349,0.0000,0.0000,6.0000,
5/24/2019 12:40:55 PM,7,CHA,32:44:44.153,00:01:00.004,0,0,NN_Char_Charge_R2,3.7099,4.9984,23.1349,0.0833,0.3069,6.0000,
5/24/2019 12:41:55 PM,7,CHA,32:45:44.151,00:02:00.002,0,0,NN_Char_Charge_R2,3.7290,4.9984,22.9246,0.1666,0.6170,6.0000,
5/24/2019 12:42:55 PM,7,CHA,32:46:44.147,00:02:59.998,0,0,NN_Char_Charge_R2,3.7340,4.9984,22.8194,0.2499,0.9278,6.0000,
5/24/2019 12:43:55 PM,7,CHA,32:47:44.151,00:04:00.002,0,0,NN_Char_Charge_R2,3.7399,4.9984,22.7142,0.3332,1.2392,6.0000,
5/24/2019 12:44:55 PM,7,CHA,32:48:44.151,00:05:00.002,0,0,NN_Char_Charge_R2,3.7480,4.9984,22.6091,0.4165,1.5511,6.0000,
5/24/2019 12:45:55 PM,7,CHA,32:49:44.153,00:06:00.004,0,0,NN_Char_Charge_R2,3.7588,4.9984,22.6091,0.4998,1.8637,6.0000,
5/24/2019 12:46:55 PM,7,CHA,32:50:44.154,00:07:00.005,0,0,NN_Char_Charge_R2,3.7710,4.9984,22.6091,0.5831,2.1774,6.0000,
5/24/2019 12:47:55 PM,7,CHA,32:51:44.158,00:08:00.009,0,0,NN_Char_Charge_R2,3.7826,4.9984,22.5039,0.6664,2.4920,6.0000,
5/24/2019 12:48:55 PM,7,CHA,32:52:44.161,00:09:00.012,0,0,NN_Char_Charge_R2,3.7929,4.9984,22.5039,0.7497,2.8075,6.0000,
5/24/2019 12:49:55 PM,7,CHA,32:53:44.156,00:10:00.007,0,0,NN_Char_Charge_R2,3.8015,4.9984,22.6091,0.8330,3.1239,6.0000,
5/24/2019 12:50:55 PM,7,CHA,32:54:44.152,00:11:00.003,0,0,NN_Char_Charge_R2,3.8094,4.9984,22.5039,0.9163,3.4409,6.0000,
5/24/2019 12:51:55 PM,7,CHA,32:55:44.154,00:12:00.005,0,0,NN_Char_Charge_R2,3.8178,4.9984,22.2936,0.9996,3.7586,6.0000,
5/24/2019 12:52:55 PM,7,CHA,32:56:44.163,00:13:00.014,0,0,NN_Char_Charge_R2,3.8257,4.9984,22.3988,1.0829,4.0770,6.0000,
5/24/2019 12:53:55 PM,7,CHA,32:57:44.159,00:14:00.010,0,0,NN_Char_Charge_R2,3.8325,4.9984,22.5039,1.1663,4.3960,6.0000,
5/24/2019 12:54:55 PM,7,CHA,32:58:44.157,00:15:00.008,0,0,NN_Char_Charge_R2,3.8380,4.9984,22.3988,1.2496,4.7155,6.0000,
5/24/2019 12:55:55 PM,7,CHA,32:59:44.152,00:16:00.003,0,0,NN_Char_Charge_R2,3.8426,4.9984,22.3988,1.3329,5.0355,6.0000,
5/24/2019 12:56:55 PM,7,CHA,33:00:44.165,00:17:00.016,0,0,NN_Char_Charge_R2,3.8463,4.9984,22.5039,1.4162,5.3557,6.0000,
5/24/2019 12:57:55 PM,7,CHA,33:01:44.152,00:18:00.003,0,0,NN_Char_Charge_R2,3.8493,5.0010,22.6091,1.4995,5.6763,6.0000,
5/24/2019 12:58:55 PM,7,CHA,33:02:44.150,00:19:00.001,0,0,NN_Char_Charge_R2,3.8524,4.9984,22.7142,1.5828,5.9971,6.0000,
5/24/2019 12:59:55 PM,7,CHA,33:03:44.163,00:20:00.014,0,0,NN_Char_Charge_R2,3.8557,4.9984,22.8194,1.6661,6.3181,6.0000,
5/24/2019 1:00:55 PM,7,CHA,33:04:44.153,00:21:00.004,0,0,NN_Char_Charge_R2,3.8595,4.9984,22.9246,1.7494,6.6395,6.0000,
5/24/2019 1:01:55 PM,7,CHA,33:05:44.157,00:22:00.008,0,0,NN_Char_Charge_R2,3.8635,4.9984,23.0297,1.8327,6.9612,6.0000,
5/24/2019 1:02:55 PM,7,CHA,33:06:44.153,00:23:00.004,0,0,NN_Char_Charge_R2,3.8681,4.9984,23.1349,1.9160,7.2833,6.0000,
5/24/2019 1:03:55 PM,7,CHA,33:07:44.154,00:24:00.005,0,0,NN_Char_Charge_R2,3.8731,4.9984,23.2400,1.9993,7.6057,6.0000,
5/24/2019 1:04:55 PM,7,CHA,33:08:44.159,00:25:00.010,0,0,NN_Char_Charge_R2,3.8785,4.9984,23.2400,2.0826,7.9285,6.0000,
5/24/2019 1:05:55 PM,7,CHA,33:09:44.157,00:26:00.008,0,0,NN_Char_Charge_R2,3.8844,4.9984,23.3452,2.1659,8.2519,6.0000,
5/24/2019 1:06:55 PM,7,CHA,33:10:44.159,00:27:00.010,0,0,NN_Char_Charge_R2,3.8910,4.9984,23.4504,2.2492,8.5758,6.0000,
5/24/2019 1:07:55 PM,7,CHA,33:11:44.158,00:28:00.009,0,0,NN_Char_Charge_R2,3.8981,4.9984,23.4504,2.3326,8.9003,6.0000,
5/24/2019 1:08:55 PM,7,CHA,33:12:44.158,00:29:00.009,0,0,NN_Char_Charge_R2,3.9056,4.9984,23.5555,2.4159,9.2253,6.0000,
5/24/2019 1:09:55 PM,7,CHA,33:13:44.153,00:30:00.004,0,0,NN_Char_Charge_R2,3.9141,4.9984,23.6607,2.4992,9.5510,6.0000,
5/24/2019 1:10:55 PM,7,CHA,33:14:44.150,00:31:00.001,0,0,NN_Char_Charge_R2,3.9232,4.9984,23.6607,2.5825,9.8774,6.0000,
5/24/2019 1:11:55 PM,7,CHA,33:15:44.147,00:31:59.998,0,0,NN_Char_Charge_R2,3.9329,4.9984,23.7658,2.6658,10.2046,6.0000,
5/24/2019 1:12:55 PM,7,CHA,33:16:44.158,00:33:00.009,0,0,NN_Char_Charge_R2,3.9437,4.9984,23.6607,2.7491,10.5328,6.0000,
5/24/2019 1:13:55 PM,7,CHA,33:17:44.149,00:34:00.000,0,0,NN_Char_Charge_R2,3.9554,4.9984,23.7658,2.8324,10.8618,6.0000,
5/24/2019 1:14:55 PM,7,CHA,33:18:44.156,00:35:00.007,0,0,NN_Char_Charge_R2,3.9673,4.9984,23.8710,2.9157,11.1918,6.0000,
5/24/2019 1:15:55 PM,7,CHA,33:19:44.160,00:36:00.011,0,0,NN_Char_Charge_R2,3.9790,4.9984,23.9761,2.9990,11.5227,6.0000,
5/24/2019 1:16:55 PM,7,CHA,33:20:44.158,00:37:00.009,0,0,NN_Char_Charge_R2,3.9904,4.9984,23.9761,3.0823,11.8547,6.0000,
5/24/2019 1:17:55 PM,7,CHA,33:21:44.147,00:37:59.998,0,0,NN_Char_Charge_R2,4.0027,4.9984,24.0813,3.1656,12.1876,6.0000,
5/24/2019 1:18:55 PM,7,CHA,33:22:44.155,00:39:00.006,0,0,NN_Char_Charge_R2,4.0159,4.9984,24.2916,3.2489,12.5216,6.0000,
5/24/2019 1:19:55 PM,7,CHA,33:23:44.151,00:40:00.002,0,0,NN_Char_Charge_R2,4.0311,4.9984,24.2916,3.3322,12.8568,6.0000,
5/24/2019 1:20:55 PM,7,CHA,33:24:44.155,00:41:00.006,0,0,NN_Char_Charge_R2,4.0506,4.9984,24.5019,3.4155,13.1934,6.0000,
5/24/2019 1:21:55 PM,7,CHA,33:25:44.158,00:42:00.009,0,0,NN_Char_Charge_R2,4.0761,4.9984,24.3968,3.4989,13.5319,6.0000,
5/24/2019 1:22:55 PM,7,CHA,33:26:44.160,00:43:00.011,0,0,NN_Char_Charge_R2,4.0988,4.9984,24.3968,3.5822,13.8725,6.0000,
5/24/2019 1:23:55 PM,7,CHA,33:27:44.153,00:44:00.004,0,0,NN_Char_Charge_R2,4.1113,4.9984,24.1865,3.6655,14.2145,6.0000,
5/24/2019 1:24:55 PM,7,CHA,33:28:44.160,00:45:00.011,0,0,NN_Char_Charge_R2,4.1216,4.9984,23.9761,3.7488,14.5574,6.0000,
5/24/2019 1:25:55 PM,7,CHA,33:29:44.154,00:46:00.005,0,0,NN_Char_Charge_R2,4.1344,4.9984,23.8710,3.8321,14.9012,6.0000,
5/24/2019 1:26:55 PM,7,CHA,33:30:44.156,00:47:00.007,0,0,NN_Char_Charge_R2,4.1489,4.9984,23.7658,3.9154,15.2463,6.0000,
5/24/2019 1:27:55 PM,7,CHA,33:31:44.155,00:48:00.006,0,0,NN_Char_Charge_R2,4.1640,4.9984,23.6607,3.9987,15.5925,6.0000,
5/24/2019 1:28:55 PM,7,CHA,33:32:44.156,00:49:00.007,0,0,NN_Char_Charge_R2,4.1796,4.9984,23.6607,4.0820,15.9401,6.0000,
5/24/2019 1:29:55 PM,7,CHA,33:33:44.148,00:49:59.999,0,0,NN_Char_Charge_R2,4.1951,4.9984,23.5555,4.1653,16.2889,6.0000,
5/24/2019 1:30:55 PM,7,CHA,33:34:44.156,00:51:00.007,0,0,NN_Char_Charge_R2,4.2001,3.0854,23.5555,4.2362,16.5864,6.0000,
5/24/2019 1:31:55 PM,7,CHA,33:35:44.156,00:52:00.007,0,0,NN_Char_Charge_R2,4.2000,1.8236,23.5555,4.2758,16.7527,6.0000,
5/24/2019 1:32:55 PM,7,CHA,33:36:44.159,00:53:00.010,0,0,NN_Char_Charge_R2,4.2000,1.1877,23.5555,4.3003,16.8559,6.0000,
5/24/2019 1:33:55 PM,7,CHA,33:37:44.154,00:54:00.005,0,0,NN_Char_Charge_R2,4.1998,0.8301,23.6607,4.3169,16.9254,6.0000,
5/24/2019 1:34:55 PM,7,CHA,33:38:44.157,00:55:00.008,0,0,NN_Char_Charge_R2,4.1998,0.6053,23.5555,4.3287,16.9751,6.0000,
5/24/2019 1:35:55 PM,7,CHA,33:39:44.158,00:56:00.009,0,0,NN_Char_Charge_R2,4.1998,0.4572,23.5555,4.3375,17.0119,6.0000,
5/24/2019 1:36:55 PM,7,CHA,33:40:44.155,00:57:00.006,0,0,NN_Char_Charge_R2,4.1998,0.3576,23.6607,4.3442,17.0403,6.0000,
5/24/2019 1:37:55 PM,7,CHA,33:41:44.156,00:58:00.007,0,0,NN_Char_Charge_R2,4.1998,0.2912,23.6607,4.3496,17.0630,6.0000,
5/24/2019 1:38:55 PM,7,CHA,33:42:44.162,00:59:00.013,0,0,NN_Char_Charge_R2,4.1998,0.2375,23.6607,4.3540,17.0813,6.0000,
5/24/2019 1:39:55 PM,7,CHA,33:43:44.156,01:00:00.007,0,0,NN_Char_Charge_R2,4.1998,0.1992,23.6607,4.3576,17.0966,6.0000,
5/24/2019 1:40:55 PM,7,CHA,33:44:44.147,01:00:59.998,0,0,NN_Char_Charge_R2,4.1998,0.1711,23.6607,4.3607,17.1095,6.0000,
5/24/2019 1:41:55 PM,7,CHA,33:45:44.157,01:02:00.008,0,0,NN_Char_Charge_R2,4.1998,0.1532,23.6607,4.3634,17.1208,6.0000,
5/24/2019 1:42:55 PM,7,CHA,33:46:44.152,01:03:00.003,0,0,NN_Char_Charge_R2,4.1998,0.1328,23.6607,4.3658,17.1308,6.0000,
5/24/2019 1:43:55 PM,7,CHA,33:47:44.155,01:04:00.006,0,0,NN_Char_Charge_R2,4.1998,0.1252,23.7658,4.3679,17.1398,6.0000,
5/24/2019 1:44:55 PM,7,CHA,33:48:44.147,01:04:59.998,0,0,NN_Char_Charge_R2,4.1998,0.1098,23.7658,4.3699,17.1479,6.0000,
5/24/2019 1:45:55 PM,7,CHA,33:49:44.150,01:06:00.001,0,0,NN_Char_Charge_R2,4.1998,0.0945,23.7658,4.3716,17.1551,6.0000,
5/24/2019 1:46:55 PM,7,CHA,33:50:44.148,01:06:59.999,0,0,NN_Char_Charge_R2,4.1998,0.0843,23.7658,4.3731,17.1614,6.0000,
5/24/2019 1:47:55 PM,7,CHA,33:51:44.157,01:08:00.008,0,0,NN_Char_Charge_R2,4.1998,0.0741,23.8710,4.3744,17.1668,6.0000,
5/24/2019 1:48:55 PM,7,CHA,33:52:44.158,01:09:00.009,0,0,NN_Char_Charge_R2,4.1998,0.0639,23.6607,4.3755,17.1715,6.0000,
5/24/2019 1:49:55 PM,7,CHA,33:53:44.148,01:09:59.999,0,0,NN_Char_Charge_R2,4.1998,0.0613,23.7658,4.3765,17.1759,6.0000,
5/24/2019 1:50:55 PM,7,CHA,33:54:44.159,01:11:00.010,0,0,NN_Char_Charge_R2,4.1998,0.0587,23.7658,4.3775,17.1801,6.0000,
5/24/2019 1:51:37 PM,7,CHA,33:55:26.770,01:11:42.621,0,0,NN_Char_Charge_R2,4.1998,0.0485,23.6607,4.3782,17.1828,6.0000,
5/24/2019 1:52:37 PM,9,PAU,33:56:26.780,00:01:00.002,0,0,NN_Char_Charge_R2,4.1994,0.0000,23.6607,4.3782,17.1828,7.0000,
5/24/2019 1:52:37 PM,9,PAU,33:56:26.780,00:01:00.002,0,0,NN_Char_Charge_R2,4.1994,0.0000,23.6607,4.3782,17.1828,7.0000,
5/24/2019 1:52:37 PM,10,PAU,33:56:26.793,00:00:00.005,0,0,NN_Char_Charge_R2,4.1994,0.0000,23.6607,4.3782,17.1828,7.0000,
5/24/2019 1:52:37 PM,13,PAU,33:56:26.805,00:00:00.005,0,0,NN_Char_Charge_R2,4.1994,0.0000,23.6607,4.3782,17.1828,7.0000,
5/24/2019 1:53:38 PM,14,PAU,33:57:26.802,00:00:59.990,0,0,NN_Char_Charge_R2,4.1993,0.0000,23.4504,4.3782,17.1828,7.0000,
5/24/2019 1:54:38 PM,14,PAU,33:58:26.810,00:01:59.998,0,0,NN_Char_Charge_R2,4.1993,0.0000,22.1885,4.3782,17.1828,7.0000,
5/24/2019 1:55:38 PM,14,PAU,33:59:26.816,00:03:00.004,0,0,NN_Char_Charge_R2,4.1993,0.0000,20.9265,4.3782,17.1828,7.0000,
5/24/2019 1:56:38 PM,14,PAU,34:00:26.805,00:03:59.993,0,0,NN_Char_Charge_R2,4.1993,0.0000,19.6646,4.3782,17.1828,7.0000,
5/24/2019 1:57:38 PM,14,PAU,34:01:26.804,00:04:59.992,0,0,NN_Char_Charge_R2,4.1994,0.0000,18.5079,4.3782,17.1828,7.0000,
5/24/2019 1:58:38 PM,14,PAU,34:02:26.800,00:05:59.988,0,0,NN_Char_Charge_R2,4.1994,0.0000,17.3512,4.3782,17.1828,7.0000,
5/24/2019 1:59:38 PM,14,PAU,34:03:26.799,00:06:59.987,0,0,NN_Char_Charge_R2,4.1996,0.0000,16.2996,4.3782,17.1828,7.0000,
5/24/2019 2:00:38 PM,14,PAU,34:04:26.804,00:07:59.992,0,0,NN_Char_Charge_R2,4.1998,0.0000,15.5635,4.3782,17.1828,7.0000,
5/24/2019 2:01:10 PM,14,PAU,34:04:59.406,00:08:32.594,0,0,NN_Char_Charge_R2,4.1998,0.0000,14.9325,4.3782,17.1828,7.0000,
5/24/2019 2:01:38 PM,15,PAU,34:05:26.806,00:00:27.393,0,0,NN_Char_Charge_R2,4.1998,0.0000,14.7222,4.3782,17.1828,7.0000,
5/24/2019 2:02:10 PM,15,PAU,34:05:59.415,00:01:00.002,0,0,NN_Char_Charge_R2,4.2000,0.0000,14.6170,4.3782,17.1828,7.0000,
5/24/2019 2:02:38 PM,15,PAU,34:06:26.804,00:01:27.391,0,0,NN_Char_Charge_R2,4.2000,0.0000,14.0912,4.3782,17.1828,7.0000,
5/24/2019 2:03:10 PM,15,PAU,34:06:59.422,00:02:00.009,0,0,NN_Char_Charge_R2,4.2001,0.0000,13.8809,4.3782,17.1828,7.0000,
5/24/2019 2:03:38 PM,15,PAU,34:07:26.801,00:02:27.388,0,0,NN_Char_Charge_R2,4.2001,0.0000,13.7758,4.3782,17.1828,7.0000,
5/24/2019 2:04:10 PM,15,PAU,34:07:59.413,00:03:00.000,0,0,NN_Char_Charge_R2,4.2001,0.0000,13.3551,4.3782,17.1828,7.0000,
5/24/2019 2:04:38 PM,15,PAU,34:08:26.801,00:03:27.388,0,0,NN_Char_Charge_R2,4.2001,0.0000,13.2500,4.3782,17.1828,7.0000,
5/24/2019 2:05:10 PM,15,PAU,34:08:59.422,00:04:00.009,0,0,NN_Char_Charge_R2,4.2003,0.0000,12.8293,4.3782,17.1828,7.0000,
5/24/2019 2:05:38 PM,15,PAU,34:09:26.802,00:04:27.389,0,0,NN_Char_Charge_R2,4.2003,0.0000,12.7242,4.3782,17.1828,7.0000,
5/24/2019 2:06:10 PM,15,PAU,34:09:59.414,00:05:00.001,0,0,NN_Char_Charge_R2,4.2003,0.0000,12.5139,4.3782,17.1828,7.0000,
5/24/2019 2:06:38 PM,15,PAU,34:10:26.803,00:05:27.390,0,0,NN_Char_Charge_R2,4.2003,0.0000,12.4087,4.3782,17.1828,7.0000,
5/24/2019 2:07:10 PM,15,PAU,34:10:59.413,00:06:00.000,0,0,NN_Char_Charge_R2,4.2003,0.0000,12.3035,4.3782,17.1828,7.0000,
5/24/2019 2:07:38 PM,15,PAU,34:11:26.807,00:06:27.394,0,0,NN_Char_Charge_R2,4.2003,0.0000,12.0932,4.3782,17.1828,7.0000,
5/24/2019 2:08:10 PM,15,PAU,34:11:59.421,00:07:00.008,0,0,NN_Char_Charge_R2,4.2005,0.0000,11.9881,4.3782,17.1828,7.0000,
5/24/2019 2:08:38 PM,15,PAU,34:12:26.802,00:07:27.389,0,0,NN_Char_Charge_R2,4.2005,0.0000,11.8829,4.3782,17.1828,7.0000,
5/24/2019 2:09:10 PM,15,PAU,34:12:59.427,00:08:00.014,0,0,NN_Char_Charge_R2,4.2005,0.0000,11.6726,4.3782,17.1828,7.0000,
5/24/2019 2:09:38 PM,15,PAU,34:13:26.803,00:08:27.390,0,0,NN_Char_Charge_R2,4.2005,0.0000,11.6726,4.3782,17.1828,7.0000,
5/24/2019 2:10:10 PM,15,PAU,34:13:59.418,00:09:00.005,0,0,NN_Char_Charge_R2,4.2005,0.0000,11.4623,4.3782,17.1828,7.0000,
5/24/2019 2:10:38 PM,15,PAU,34:14:26.803,00:09:27.390,0,0,NN_Char_Charge_R2,4.2005,0.0000,11.3571,4.3782,17.1828,7.0000,
5/24/2019 2:11:10 PM,15,PAU,34:14:59.414,00:10:00.001,0,0,NN_Char_Charge_R2,4.2005,0.0000,11.2520,4.3782,17.1828,7.0000,
5/24/2019 2:11:38 PM,15,PAU,34:15:26.808,00:10:27.395,0,0,NN_Char_Charge_R2,4.2005,0.0000,11.1468,4.3782,17.1828,7.0000,
5/24/2019 2:12:10 PM,15,PAU,34:15:59.412,00:10:59.999,0,0,NN_Char_Charge_R2,4.2006,0.0000,10.9365,4.3782,17.1828,7.0000,
5/24/2019 2:12:38 PM,15,PAU,34:16:26.808,00:11:27.395,0,0,NN_Char_Charge_R2,4.2006,0.0000,10.9365,4.3782,17.1828,7.0000,
5/24/2019 2:13:10 PM,15,PAU,34:16:59.417,00:12:00.004,0,0,NN_Char_Charge_R2,4.2006,0.0000,10.7262,4.3782,17.1828,7.0000,
5/24/2019 2:13:38 PM,15,PAU,34:17:26.814,00:12:27.401,0,0,NN_Char_Charge_R2,4.2006,0.0000,10.7262,4.3782,17.1828,7.0000,
5/24/2019 2:14:10 PM,15,PAU,34:17:59.418,00:13:00.005,0,0,NN_Char_Charge_R2,4.2006,0.0000,10.6210,4.3782,17.1828,7.0000,
