

Measurement ID,765
Battery Name,Turnigy_5Ah_91198-SN1
Battery Type,Li-ion
Circuit,Circuit001
Program,1792 - Turnigy_CyclesA
Start Time,4/11/2019 10:43:05 PM
End Time,4/13/2019 8:50:14 AM
Test section,Charge7
Comment,40 deg
OrderNo,
Producer,Turnigy
Type,Li-ion
Nominal Voltage,3.7
Nominal Current,5
Nominal Capacity,5
Cells,1
Maximum Voltage,4.2
Gassing Voltage,0
Break Voltage,0
Charge Factor,0
Impedance,0.001
Cold Cranking Current,0
Energy Density,0
Comment,Temperature sensor on center of cell face



Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt,
[M/d/yyyy h:mm:ss tt],[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[C],[Ah],[Wh],[Cnt],
4/12/2019 11:53:10 PM,2,PAU,25:09:59.061,00:00:00.003,0,0,NN_Char_Charge_R2,3.5471,0.0000,38.6983,0.0000,0.0000,6.0000,
4/12/2019 11:54:10 PM,4,PAU,25:10:59.073,00:01:00.005,0,0,NN_Char_Charge_R2,3.5478,0.0000,38.0674,0.0000,0.0000,6.0000,
4/12/2019 11:55:10 PM,4,PAU,25:11:59.075,00:02:00.007,0,0,NN_Char_Charge_R2,3.5491,0.0000,35.7539,0.0000,0.0000,6.0000,
4/12/2019 11:56:10 PM,4,PAU,25:12:59.069,00:03:00.001,0,0,NN_Char_Charge_R2,3.5505,0.0000,34.0714,0.0000,0.0000,6.0000,
4/12/2019 11:57:10 PM,4,PAU,25:13:59.068,00:04:00.000,0,0,NN_Char_Charge_R2,3.5520,0.0000,32.9146,0.0000,0.0000,6.0000,
4/12/2019 11:58:10 PM,4,PAU,25:14:59.070,00:05:00.002,0,0,NN_Char_Charge_R2,3.5533,0.0000,31.8630,0.0000,0.0000,6.0000,
4/12/2019 11:59:10 PM,4,PAU,25:15:59.074,00:06:00.006,0,0,NN_Char_Charge_R2,3.5545,0.0000,31.1269,0.0000,0.0000,6.0000,
4/13/2019 12:00:10 AM,4,PAU,25:16:59.069,00:07:00.001,0,0,NN_Char_Charge_R2,3.5555,0.0000,30.4960,0.0000,0.0000,6.0000,
4/13/2019 12:00:43 AM,4,PAU,25:17:32.165,00:07:33.097,0,0,NN_Char_Charge_R2,3.5562,0.0000,29.9702,0.0000,0.0000,6.0000,
4/13/2019 12:01:43 AM,5,PAU,25:18:32.179,00:01:00.008,0,0,NN_Char_Charge_R2,3.5572,0.0000,29.2341,0.0000,0.0000,6.0000,
4/13/2019 12:02:43 AM,5,PAU,25:19:32.172,00:02:00.001,0,0,NN_Char_Charge_R2,3.5581,0.0000,28.8134,0.0000,0.0000,6.0000,
4/13/2019 12:03:43 AM,5,PAU,25:20:32.177,00:03:00.006,0,0,NN_Char_Charge_R2,3.5587,0.0000,28.3928,0.0000,0.0000,6.0000,
4/13/2019 12:04:43 AM,5,PAU,25:21:32.173,00:04:00.002,0,0,NN_Char_Charge_R2,3.5594,0.0000,27.8670,0.0000,0.0000,6.0000,
4/13/2019 12:05:43 AM,5,PAU,25:22:32.172,00:05:00.001,0,0,NN_Char_Charge_R2,3.5601,0.0000,27.5515,0.0000,0.0000,6.0000,
4/13/2019 12:06:43 AM,5,PAU,25:23:32.171,00:06:00.000,0,0,NN_Char_Charge_R2,3.5606,0.0000,27.1309,0.0000,0.0000,6.0000,
4/13/2019 12:07:43 AM,5,PAU,25:24:32.178,00:07:00.007,0,0,NN_Char_Charge_R2,3.5611,0.0000,26.8154,0.0000,0.0000,6.0000,
4/13/2019 12:08:43 AM,5,PAU,25:25:32.173,00:08:00.002,0,0,NN_Char_Charge_R2,3.5616,0.0000,26.3948,0.0000,0.0000,6.0000,
4/13/2019 12:09:43 AM,5,PAU,25:26:32.178,00:09:00.007,0,0,NN_Char_Charge_R2,3.5621,0.0000,26.1845,0.0000,0.0000,6.0000,
4/13/2019 12:10:43 AM,5,PAU,25:27:32.178,00:10:00.007,0,0,NN_Char_Charge_R2,3.5624,0.0000,25.9742,0.0000,0.0000,6.0000,
4/13/2019 12:11:43 AM,5,PAU,25:28:32.179,00:11:00.008,0,0,NN_Char_Charge_R2,3.5628,0.0000,25.7638,0.0000,0.0000,6.0000,
4/13/2019 12:12:43 AM,5,PAU,25:29:32.174,00:12:00.003,0,0,NN_Char_Charge_R2,3.5631,0.0000,25.6587,0.0000,0.0000,6.0000,
4/13/2019 12:13:43 AM,5,PAU,25:30:32.177,00:13:00.006,0,0,NN_Char_Charge_R2,3.5635,0.0000,25.4484,0.0000,0.0000,6.0000,
4/13/2019 12:14:43 AM,5,PAU,25:31:32.173,00:14:00.002,0,0,NN_Char_Charge_R2,3.5636,0.0000,25.2380,0.0000,0.0000,6.0000,
4/13/2019 12:15:43 AM,5,PAU,25:32:32.175,00:15:00.004,0,0,NN_Char_Charge_R2,3.5640,0.0000,25.1329,0.0000,0.0000,6.0000,
4/13/2019 12:15:43 AM,5,PAU,25:32:32.175,00:15:00.004,0,0,NN_Char_Charge_R2,3.5640,0.0000,25.1329,0.0000,0.0000,6.0000,
4/13/2019 12:16:43 AM,7,CHA,25:33:32.192,00:01:00.006,0,0,NN_Char_Charge_R2,3.6557,4.9984,24.9226,0.0833,0.3018,6.0000,
