

Measurement ID,766
Battery Name,Turnigy_5Ah_91198-SN1
Battery Type,Li-ion
Circuit,Circuit001
Program,1790 - Turnigy_CyclesB
Start Time,4/13/2019 1:36:15 PM
End Time,4/15/2019 11:28:10 AM
Test section,Charge15
Comment,40 deg
OrderNo,
Producer,Turnigy
Type,Li-ion
Nominal Voltage,3.7
Nominal Current,5
Nominal Capacity,5
Cells,1
Maximum Voltage,4.2
Gassing Voltage,0
Break Voltage,0
Charge Factor,0
Impedance,0.001
Cold Cranking Current,0
Energy Density,0
Comment,Temperature sensor on center of cell face



Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt,
[M/d/yyyy h:mm:ss tt],[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[C],[Ah],[Wh],[Cnt],
4/14/2019 11:45:39 PM,2,PAU,34:09:17.794,00:00:00.003,0,0,NN_Char_Charge_R2,3.5392,0.0000,38.9087,0.0000,0.0000,53.0000,
4/14/2019 11:46:39 PM,4,PAU,34:10:17.802,00:01:00.001,0,0,NN_Char_Charge_R2,3.5399,0.0000,38.6983,0.0000,0.0000,53.0000,
4/14/2019 11:47:39 PM,4,PAU,34:11:17.800,00:01:59.999,0,0,NN_Char_Charge_R2,3.5405,0.0000,38.3829,0.0000,0.0000,53.0000,
4/14/2019 11:48:39 PM,4,PAU,34:12:17.805,00:03:00.004,0,0,NN_Char_Charge_R2,3.5414,0.0000,37.4364,0.0000,0.0000,53.0000,
4/14/2019 11:49:39 PM,4,PAU,34:13:17.807,00:04:00.006,0,0,NN_Char_Charge_R2,3.5424,0.0000,36.3849,0.0000,0.0000,53.0000,
4/14/2019 11:50:39 PM,4,PAU,34:14:17.804,00:05:00.003,0,0,NN_Char_Charge_R2,3.5436,0.0000,35.0178,0.0000,0.0000,53.0000,
4/14/2019 11:51:39 PM,4,PAU,34:15:17.806,00:06:00.005,0,0,NN_Char_Charge_R2,3.5447,0.0000,33.6507,0.0000,0.0000,53.0000,
4/14/2019 11:52:39 PM,4,PAU,34:16:17.807,00:07:00.006,0,0,NN_Char_Charge_R2,3.5461,0.0000,32.2837,0.0000,0.0000,53.0000,
4/14/2019 11:53:39 PM,4,PAU,34:17:17.815,00:08:00.014,0,0,NN_Char_Charge_R2,3.5474,0.0000,31.1269,0.0000,0.0000,53.0000,
4/14/2019 11:54:39 PM,4,PAU,34:18:17.815,00:09:00.014,0,0,NN_Char_Charge_R2,3.5486,0.0000,30.3908,0.0000,0.0000,53.0000,
4/14/2019 11:55:03 PM,4,PAU,34:18:42.047,00:09:24.246,0,0,NN_Char_Charge_R2,3.5491,0.0000,29.9702,0.0000,0.0000,53.0000,
4/14/2019 11:56:03 PM,5,PAU,34:19:42.059,00:01:00.006,0,0,NN_Char_Charge_R2,3.5501,0.0000,29.4444,0.0000,0.0000,53.0000,
4/14/2019 11:57:03 PM,5,PAU,34:20:42.058,00:02:00.005,0,0,NN_Char_Charge_R2,3.5510,0.0000,28.8134,0.0000,0.0000,53.0000,
4/14/2019 11:58:03 PM,5,PAU,34:21:42.058,00:03:00.005,0,0,NN_Char_Charge_R2,3.5517,0.0000,28.4980,0.0000,0.0000,53.0000,
4/14/2019 11:59:03 PM,5,PAU,34:22:42.062,00:04:00.009,0,0,NN_Char_Charge_R2,3.5523,0.0000,27.9722,0.0000,0.0000,53.0000,
4/15/2019 12:00:03 AM,5,PAU,34:23:42.057,00:05:00.004,0,0,NN_Char_Charge_R2,3.5528,0.0000,27.5515,0.0000,0.0000,53.0000,
4/15/2019 12:01:03 AM,5,PAU,34:24:42.062,00:06:00.009,0,0,NN_Char_Charge_R2,3.5535,0.0000,27.2361,0.0000,0.0000,53.0000,
4/15/2019 12:02:03 AM,5,PAU,34:25:42.054,00:07:00.001,0,0,NN_Char_Charge_R2,3.5540,0.0000,26.9206,0.0000,0.0000,53.0000,
4/15/2019 12:03:03 AM,5,PAU,34:26:42.054,00:08:00.001,0,0,NN_Char_Charge_R2,3.5545,0.0000,26.5000,0.0000,0.0000,53.0000,
4/15/2019 12:04:03 AM,5,PAU,34:27:42.056,00:09:00.003,0,0,NN_Char_Charge_R2,3.5550,0.0000,26.1845,0.0000,0.0000,53.0000,
4/15/2019 12:05:03 AM,5,PAU,34:28:42.059,00:10:00.006,0,0,NN_Char_Charge_R2,3.5554,0.0000,25.9742,0.0000,0.0000,53.0000,
4/15/2019 12:06:03 AM,5,PAU,34:29:42.061,00:11:00.008,0,0,NN_Char_Charge_R2,3.5557,0.0000,25.6587,0.0000,0.0000,53.0000,
4/15/2019 12:07:03 AM,5,PAU,34:30:42.059,00:12:00.006,0,0,NN_Char_Charge_R2,3.5559,0.0000,25.6587,0.0000,0.0000,53.0000,
4/15/2019 12:08:03 AM,5,PAU,34:31:42.057,00:13:00.004,0,0,NN_Char_Charge_R2,3.5562,0.0000,25.3432,0.0000,0.0000,53.0000,
4/15/2019 12:09:03 AM,5,PAU,34:32:42.053,00:14:00.000,0,0,NN_Char_Charge_R2,3.5565,0.0000,25.2380,0.0000,0.0000,53.0000,
4/15/2019 12:10:03 AM,5,PAU,34:33:42.054,00:15:00.001,0,0,NN_Char_Charge_R2,3.5569,0.0000,25.1329,0.0000,0.0000,53.0000,
4/15/2019 12:10:03 AM,5,PAU,34:33:42.054,00:15:00.001,0,0,NN_Char_Charge_R2,3.5569,0.0000,25.1329,0.0000,0.0000,53.0000,
4/15/2019 12:11:03 AM,7,CHA,34:34:42.062,00:01:00.001,0,0,NN_Char_Charge_R2,3.6518,4.9984,24.9226,0.0833,0.3014,53.0000,
4/15/2019 12:12:03 AM,7,CHA,34:35:42.060,00:01:59.999,0,0,NN_Char_Charge_R2,3.7029,4.9984,24.3968,0.1666,0.6079,53.0000,
4/15/2019 12:13:03 AM,7,CHA,34:36:42.063,00:03:00.002,0,0,NN_Char_Charge_R2,3.7260,4.9984,24.2916,0.2499,0.9176,53.0000,
4/15/2019 12:14:03 AM,7,CHA,34:37:42.066,00:04:00.005,0,0,NN_Char_Charge_R2,3.7315,4.9984,23.9761,0.3332,1.2283,53.0000,
4/15/2019 12:15:03 AM,7,CHA,34:38:42.066,00:05:00.005,0,0,NN_Char_Charge_R2,3.7374,4.9984,23.8710,0.4165,1.5394,53.0000,
4/15/2019 12:16:03 AM,7,CHA,34:39:42.069,00:06:00.008,0,0,NN_Char_Charge_R2,3.7453,4.9984,23.6607,0.4999,1.8511,53.0000,
4/15/2019 12:17:03 AM,7,CHA,34:40:42.068,00:07:00.007,0,0,NN_Char_Charge_R2,3.7560,4.9984,23.6607,0.5832,2.1635,53.0000,
4/15/2019 12:18:03 AM,7,CHA,34:41:42.061,00:08:00.000,0,0,NN_Char_Charge_R2,3.7683,4.9984,23.4504,0.6665,2.4769,53.0000,
4/15/2019 12:19:03 AM,7,CHA,34:42:42.062,00:09:00.001,0,0,NN_Char_Charge_R2,3.7802,4.9984,23.3452,0.7498,2.7913,53.0000,
4/15/2019 12:20:03 AM,7,CHA,34:43:42.069,00:10:00.008,0,0,NN_Char_Charge_R2,3.7910,4.9984,23.2400,0.8331,3.1067,53.0000,
4/15/2019 12:21:03 AM,7,CHA,34:44:42.066,00:11:00.005,0,0,NN_Char_Charge_R2,3.8003,5.0010,23.2400,0.9164,3.4229,53.0000,
4/15/2019 12:22:03 AM,7,CHA,34:45:42.064,00:12:00.003,0,0,NN_Char_Charge_R2,3.8084,4.9984,23.1349,0.9997,3.7399,53.0000,
4/15/2019 12:23:03 AM,7,CHA,34:46:42.061,00:13:00.000,0,0,NN_Char_Charge_R2,3.8170,4.9984,23.1349,1.0830,4.0575,53.0000,
4/15/2019 12:24:03 AM,7,CHA,34:47:42.062,00:14:00.001,0,0,NN_Char_Charge_R2,3.8256,4.9984,22.9246,1.1663,4.3759,53.0000,
4/15/2019 12:25:03 AM,7,CHA,34:48:42.061,00:15:00.000,0,0,NN_Char_Charge_R2,3.8328,4.9984,22.9246,1.2496,4.6949,53.0000,
4/15/2019 12:26:03 AM,7,CHA,34:49:42.070,00:16:00.009,0,0,NN_Char_Charge_R2,3.8387,4.9984,22.9246,1.3329,5.0144,53.0000,
4/15/2019 12:27:03 AM,7,CHA,34:50:42.063,00:17:00.002,0,0,NN_Char_Charge_R2,3.8438,4.9984,23.1349,1.4162,5.3344,53.0000,
4/15/2019 12:28:03 AM,7,CHA,34:51:42.061,00:18:00.000,0,0,NN_Char_Charge_R2,3.8480,4.9984,23.1349,1.4995,5.6548,53.0000,
4/15/2019 12:29:03 AM,7,CHA,34:52:42.062,00:19:00.001,0,0,NN_Char_Charge_R2,3.8514,4.9984,23.1349,1.5829,5.9756,53.0000,
4/15/2019 12:30:03 AM,7,CHA,34:53:42.067,00:20:00.006,0,0,NN_Char_Charge_R2,3.8546,4.9984,23.3452,1.6662,6.2965,53.0000,
4/15/2019 12:31:03 AM,7,CHA,34:54:42.074,00:21:00.013,0,0,NN_Char_Charge_R2,3.8579,5.0010,23.2400,1.7495,6.6178,53.0000,
4/15/2019 12:32:03 AM,7,CHA,34:55:42.061,00:22:00.000,0,0,NN_Char_Charge_R2,3.8615,4.9984,23.3452,1.8328,6.9393,53.0000,
4/15/2019 12:33:03 AM,7,CHA,34:56:42.061,00:23:00.000,0,0,NN_Char_Charge_R2,3.8655,4.9984,23.4504,1.9161,7.2612,53.0000,
4/15/2019 12:34:03 AM,7,CHA,34:57:42.060,00:23:59.999,0,0,NN_Char_Charge_R2,3.8697,4.9984,23.4504,1.9994,7.5834,53.0000,
4/15/2019 12:35:03 AM,7,CHA,34:58:42.064,00:25:00.003,0,0,NN_Char_Charge_R2,3.8745,4.9984,23.5555,2.0827,7.9060,53.0000,
4/15/2019 12:36:03 AM,7,CHA,34:59:42.070,00:26:00.009,0,0,NN_Char_Charge_R2,3.8795,4.9984,23.6607,2.1660,8.2289,53.0000,
4/15/2019 12:37:03 AM,7,CHA,35:00:42.066,00:27:00.005,0,0,NN_Char_Charge_R2,3.8852,4.9984,23.7658,2.2493,8.5523,53.0000,
4/15/2019 12:38:03 AM,7,CHA,35:01:42.079,00:28:00.018,0,0,NN_Char_Charge_R2,3.8913,4.9984,23.6607,2.3326,8.8762,53.0000,
4/15/2019 12:39:03 AM,7,CHA,35:02:42.065,00:29:00.004,0,0,NN_Char_Charge_R2,3.8979,4.9984,23.7658,2.4159,9.2007,53.0000,
4/15/2019 12:40:03 AM,7,CHA,35:03:42.081,00:30:00.020,0,0,NN_Char_Charge_R2,3.9051,4.9984,23.8710,2.4992,9.5257,53.0000,
4/15/2019 12:41:03 AM,7,CHA,35:04:42.065,00:31:00.004,0,0,NN_Char_Charge_R2,3.9129,4.9984,23.8710,2.5825,9.8513,53.0000,
4/15/2019 12:42:03 AM,7,CHA,35:05:42.071,00:32:00.010,0,0,NN_Char_Charge_R2,3.9213,4.9984,23.9761,2.6659,10.1778,53.0000,
4/15/2019 12:43:03 AM,7,CHA,35:06:42.067,00:33:00.006,0,0,NN_Char_Charge_R2,3.9304,4.9984,24.0813,2.7492,10.5047,53.0000,
4/15/2019 12:44:03 AM,7,CHA,35:07:42.063,00:34:00.002,0,0,NN_Char_Charge_R2,3.9405,4.9984,24.0813,2.8325,10.8326,53.0000,
4/15/2019 12:45:03 AM,7,CHA,35:08:42.065,00:35:00.004,0,0,NN_Char_Charge_R2,3.9515,4.9984,24.0813,2.9158,11.1612,53.0000,
4/15/2019 12:46:03 AM,7,CHA,35:09:42.068,00:36:00.007,0,0,NN_Char_Charge_R2,3.9631,4.9984,24.0813,2.9991,11.4910,53.0000,
4/15/2019 12:47:03 AM,7,CHA,35:10:42.065,00:37:00.004,0,0,NN_Char_Charge_R2,3.9748,4.9984,24.1865,3.0824,11.8216,53.0000,
4/15/2019 12:48:03 AM,7,CHA,35:11:42.066,00:38:00.005,0,0,NN_Char_Charge_R2,3.9864,4.9984,24.2916,3.1657,12.1532,53.0000,
4/15/2019 12:49:03 AM,7,CHA,35:12:42.067,00:39:00.006,0,0,NN_Char_Charge_R2,3.9982,4.9984,24.3968,3.2490,12.4858,53.0000,
